id,Title,Year,Type,smoking,cigarette-smoking,pipe-smoking,cigar-smoking,Plot,Rating,Awards
tt1606375,Downton Abbey,2010–2015,series,True,False,False,False,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,8.7,Won 3 Golden Globes. Another 54 wins & 224 nominations.
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,movie,True,False,True,False,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.8,Won 4 Oscars. Another 114 wins & 124 nominations.
tt1302006,The Irishman,2019,movie,True,True,False,True,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",7.9,Nominated for 10 Oscars. Another 71 wins & 311 nominations.
tt0106918,The Firm,1993,movie,True,True,False,True,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,6.8,Nominated for 2 Oscars. Another 3 wins & 5 nominations.
tt0103772,Basic Instinct,1992,movie,True,True,False,False,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,7.0,Nominated for 2 Oscars. Another 5 wins & 21 nominations.
tt4647692,Letterkenny,2016–,series,True,False,False,False,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",8.7,13 wins & 30 nominations.
tt3371366,Transformers: The Last Knight,2017,movie,True,False,True,False,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",5.2,2 wins & 19 nominations.
tt0149261,Deep Blue Sea,1999,movie,True,True,False,False,"Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.",5.9,2 wins & 4 nominations.
tt6803046,The Vast of Night,2019,movie,True,False,False,False,"In the twilight of the 1950s, on one fateful night in New Mexico, young switchboard operator Fay and charismatic radio DJ Everett discover a strange audio frequency that could change their small town and the future forever.",6.7,4 wins & 10 nominations.
tt0360486,Constantine,2005,movie,True,True,False,False,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",7.0,2 wins & 10 nominations.
tt0034583,Casablanca,1942,movie,True,False,False,False,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.5,Won 3 Oscars. Another 5 wins & 9 nominations.
tt0117951,Trainspotting,1996,movie,True,True,False,False,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",8.1,Nominated for 1 Oscar. Another 23 wins & 33 nominations.
tt0790636,Dallas Buyers Club,2013,movie,True,True,False,False,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",8.0,Won 3 Oscars. Another 82 wins & 82 nominations.
tt0450278,Hostel,2005,movie,True,False,False,False,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",5.9,4 wins & 12 nominations.
tt1001508,He's Just Not That Into You,2009,movie,True,True,False,False,This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,6.4,1 win & 4 nominations.
tt0061722,The Graduate,1967,movie,True,False,False,False,A disillusioned college graduate finds himself torn between his older lover and her daughter.,8.0,Won 1 Oscar. Another 20 wins & 20 nominations.
tt0033467,Citizen Kane,1941,movie,True,False,True,True,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",8.3,Won 1 Oscar. Another 9 wins & 13 nominations.
tt1637725,Ted,2012,movie,True,False,False,False,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",6.9,Nominated for 1 Oscar. Another 13 wins & 27 nominations.
tt0072890,Dog Day Afternoon,1975,movie,True,False,False,False,"A man robs a bank to pay for his lover's operation, which turns into a hostage situation and a media circus.",8.0,Won 1 Oscar. Another 13 wins & 19 nominations.
