id,smoking,cigarette-smoking,pipe-smoking,cigar-smoking
tt1606375,True,False,False,False
tt0120737,True,False,True,False
tt1302006,True,True,False,True
tt0106918,True,True,False,True
tt0103772,True,True,False,False
tt4647692,True,False,False,False
tt3371366,True,False,True,False
tt0149261,True,True,False,False
tt6803046,True,False,False,False
tt0360486,True,True,False,False
tt0034583,True,False,False,False
tt0117951,True,True,False,False
tt0790636,True,True,False,False
tt0450278,True,False,False,False
tt1001508,True,True,False,False
tt0061722,True,False,False,False
tt0033467,True,False,True,True
tt1637725,True,False,False,False
tt0072890,True,False,False,False
tt3289956,True,True,False,False
tt0103074,True,True,False,False
tt0120669,True,False,False,False
tt0082096,True,False,False,False
tt0435625,True,True,False,False
tt2503944,True,False,False,False
tt0114011,True,True,False,False
tt7216636,True,False,False,False
tt4555426,True,False,False,True
tt1588170,True,True,False,False
tt0117705,True,False,False,True
tt2401878,True,True,False,False
tt9148706,True,True,False,False
tt7008872,True,True,False,False
tt8134742,True,True,False,False
tt0084522,True,False,False,True
tt0102494,True,False,False,False
tt6205872,True,False,False,False
tt0252076,True,False,False,False
tt0071402,True,True,False,True
tt0064276,True,False,False,False
tt1893256,True,False,False,False
tt0426883,True,True,True,False
tt0353049,True,False,False,False
tt0128445,True,False,False,False
tt0095631,True,False,False,False
tt1172233,True,False,False,False
tt2752200,True,False,False,False
tt0157503,True,False,False,False
tt5689068,True,False,False,False
tt0116908,True,True,False,False
tt0081283,True,False,False,False
tt0046912,True,True,True,True
tt0043274,True,False,True,False
tt1456635,True,False,False,False
tt1592873,True,False,False,False
tt0055254,True,True,True,True
tt6127004,True,False,False,False
tt7204348,True,True,False,False
tt0047437,True,False,False,True
tt3286052,True,True,False,False
tt0292644,True,True,False,False
tt0099700,True,False,False,False
tt0095776,True,False,False,True
tt0113161,True,False,False,False
tt0077713,True,True,False,False
tt0210616,True,False,False,False
tt0028212,True,False,False,False
tt0107050,True,False,False,False
tt0185125,True,False,False,False
tt3138122,True,True,False,False
tt0262150,True,False,False,False
tt0203019,True,False,False,False
tt0119164,True,False,False,False
tt1829012,True,False,False,False
tt0078446,True,False,False,False
tt0139239,True,True,False,False
tt1441912,True,True,False,False
tt0490086,True,False,False,False
tt2505294,True,True,False,False
tt0178737,True,False,False,False
tt3114390,True,False,False,False
tt0112818,True,False,False,False
tt5698320,True,False,False,False
tt0083530,True,True,False,False
tt0030341,True,False,True,False
tt0086312,True,True,False,False
tt0362225,True,True,False,False
tt0417349,True,False,False,False
tt0116999,True,True,False,False
tt1786751,True,False,False,False
