id,smoking,cigarette-smoking,pipe-smoking,cigar-smoking
tt1606375,True,False,False,False
tt0120737,True,False,True,False
tt1302006,True,True,False,True
tt0106918,True,True,False,True
tt0103772,True,True,False,False
tt4647692,True,False,False,False
tt3371366,True,False,True,False
tt0149261,True,True,False,False
tt6803046,True,False,False,False
tt0360486,True,True,False,False
tt0034583,True,False,False,False
tt0117951,True,True,False,False
tt0790636,True,True,False,False
tt0450278,True,False,False,False
tt1001508,True,True,False,False
tt0061722,True,False,False,False
tt0033467,True,False,True,True
tt1637725,True,False,False,False
tt0072890,True,False,False,False
